region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state,posting_date,combined,car_msrp
reno / tahoe,18238,2015,subaru,xv crosstrek limited,good,4 cylinders,gas,86979,clean,automatic,JF2GPAMC4F8240264,,,other,red,ca,2021-04-26 20:31:01+00:00,2015.0 subaru xv crosstrek limited,24495
knoxville,14990,2015,chevrolet,city express cargo lt,,4 cylinders,gas,121342,clean,automatic,3N63M0ZN8FK731970,fwd,,van,white,tn,2021-04-13 17:19:03+00:00,2015.0 chevrolet city express cargo lt,24510
fargo / moorhead,25995,2015,chevrolet,suburban,,8 cylinders,gas,151429,clean,automatic,1GNSKJKC7FR277966,4wd,,,black,mn,2021-04-28 23:17:24+00:00,2015.0 chevrolet suburban,24585
"washington, DC",19590,2015,volkswagen,golf sportwagen tdi s,good,,gas,59480,clean,other,3VWCA7AU0FM506189,fwd,,wagon,red,dc,2021-05-02 12:01:22+00:00,2015.0 volkswagen golf sportwagen tdi s,24595
"st louis, MO",29891,2015,chevrolet,silverado 1500,,,gas,98305,clean,automatic,3GCUKREC7FG231033,4wd,,,silver,il,2021-04-30 13:43:24+00:00,2015.0 chevrolet silverado 1500,24705
pittsburgh,17988,2015,subaru,outback,good,4 cylinders,gas,72417,clean,automatic,4S4BSANCXF3273459,4wd,,wagon,white,pa,2021-04-19 17:52:30+00:00,2015.0 subaru outback,24895
SF bay area,18988,2015,subaru,outback,excellent,4 cylinders,gas,57757,clean,automatic,4S4BSACC5F3327480,4wd,,wagon,white,ca,2021-05-03 21:31:25+00:00,2015.0 subaru outback,24895
southwest michigan,15400,2015,subaru,outback,excellent,4 cylinders,gas,104345,clean,automatic,4S4BSBJC0F3204923,4wd,,SUV,black,mi,2021-04-07 15:46:58+00:00,2015.0 subaru outback,24895
yakima,20994,2015,hyundai,santa fe,,6 cylinders,gas,61075,clean,automatic,KM8SNDHF0FU114362,4wd,,SUV,black,wa,2021-04-21 16:02:14+00:00,2015.0 hyundai santa fe,24950
fresno / madera,12450,2015,hyundai,santa fe,excellent,6 cylinders,gas,121062,clean,automatic,KM8SN4HF6FU112034,fwd,,SUV,silver,ca,2021-04-30 21:19:36+00:00,2015.0 hyundai santa fe,24950
tulsa,15288,2015,hyundai,santa fe,,,gas,156450,clean,automatic,KM8SR4HF0FU099365,fwd,,wagon,,ok,2021-04-23 20:52:46+00:00,2015.0 hyundai santa fe,24950
atlanta,17990,2015,hyundai,santa fe sport utility,good,,gas,46354,clean,other,5XYZU3LB7FG298477,,,other,black,ga,2021-04-30 01:21:11+00:00,2015.0 hyundai santa fe sport utility,24950
tri-cities,14495,2015,buick,encore,,4 cylinders,gas,96613,,automatic,KL4CJFSB2FB126962,4wd,,SUV,silver,tn,2021-04-26 18:13:00+00:00,2015.0 buick encore,24990
birmingham,14900,2015,subaru,xv crosstrek,good,4 cylinders,gas,97061,clean,automatic,JF2GPAMC8F8246097,4wd,full-size,SUV,orange,al,2021-04-10 20:56:59+00:00,2015.0 subaru xv crosstrek,24995
syracuse,39000,2015,chevrolet,silverado 2500hd,excellent,8 cylinders,diesel,79243,clean,automatic,1GC2KVE84FZ101576,4wd,full-size,truck,white,ny,2021-04-16 14:42:36+00:00,2015.0 chevrolet silverado 2500hd,25000
winchester,19575,2015,chevrolet,camaro,like new,6 cylinders,gas,75394,clean,automatic,2G1FD1E31F9222142,,full-size,coupe,red,va,2021-04-29 16:34:02+00:00,2015.0 chevrolet camaro,25000
inland empire,11000,2015,chevrolet,equinox,excellent,4 cylinders,gas,104455,clean,automatic,2GNALAEK1F1175843,fwd,mid-size,SUV,black,ca,2021-05-01 00:22:42+00:00,2015.0 chevrolet equinox,25395
rochester,22500,2015,chevrolet,silverado 1500,like new,8 cylinders,gas,156629,clean,automatic,3GCUKREC6FG195688,4wd,full-size,truck,blue,mn,2021-04-13 20:12:07+00:00,2015.0 chevrolet silverado 1500,25395
ft myers / SW florida,15900,2015,chevrolet,city express cargo,,,gas,68778,clean,automatic,3N63M0ZN5FK730923,fwd,,,white,fl,2021-04-23 09:20:28+00:00,2015.0 chevrolet city express cargo,25410
worcester / central MA,18990,2015,volkswagen,golf sportwagen tdi s,good,,diesel,28105,clean,other,3VWCA7AU5FM511601,fwd,,wagon,blue,ma,2021-04-22 16:11:14+00:00,2015.0 volkswagen golf sportwagen tdi s,25415
richmond,15470,2015,honda,cr-v ex,good,4 cylinders,gas,89379,clean,automatic,2HKRM3H56FH536105,fwd,compact,SUV,grey,va,2021-04-22 21:09:12+00:00,2015.0 honda cr-v ex,25420
columbus,11500,2015,chrysler,town & country,excellent,6 cylinders,gas,109721,clean,automatic,2C4RC1BG3FR545185,fwd,,,white,oh,2021-04-27 21:28:48+00:00,2015.0 chrysler town & country,25470
anchorage / mat-su,14988,2015,ford,escape se automatic,,,gas,112820,clean,automatic,1FMCU9G95FUC37266,4wd,,SUV,black,ak,2021-05-02 21:06:41+00:00,2015.0 ford escape se automatic,25550
austin,24950,2015,ram,1500,excellent,8 cylinders,gas,93450,clean,automatic,1C6RR6LT2FS675729,rwd,full-size,pickup,black,tx,2021-04-24 00:30:34+00:00,2015.0 ram 1500,25660
east oregon,34871,2015,ram,1500,,8 cylinders,gas,34000,clean,automatic,1C6RR7LT6FS715669,4wd,,truck,grey,or,2021-04-07 14:30:53+00:00,2015.0 ram 1500,25660
tulsa,19995,2015,ram,1500,,,gas,179285,clean,automatic,1C6RR7LT4FS580806,4wd,,pickup,white,ok,2021-04-26 19:48:23+00:00,2015.0 ram 1500,25660
seattle-tacoma,33888,2015,ram,1500,,,gas,77014,clean,automatic,1C6RR7MT2FS589325,4wd,,pickup,,wa,2021-05-05 00:46:02+00:00,2015.0 ram 1500,25660
sioux falls / SE SD,14750,2015,ram,1500,excellent,8 cylinders,gas,47659,clean,automatic,1C6RR7LT3FS757801,4wd,,pickup,,sd,2021-04-12 15:02:58+00:00,2015.0 ram 1500,25660
anchorage / mat-su,18999,2015,mini,countryman cooper s,excellent,4 cylinders,gas,66566,clean,manual,WMWZC5C50FWM19262,4wd,mid-size,hatchback,brown,ak,2021-04-29 21:24:15+00:00,2015.0 mini countryman cooper s,25950
jacksonville,13250,2015,kia,optima hybrid,,4 cylinders,hybrid,68188,clean,automatic,KNAGN4AD6F5089381,fwd,,sedan,blue,fl,2021-04-16 15:33:43+00:00,2015.0 kia optima hybrid,25990
austin,20500,2015,ford,mustang ecoboost automatic,,,gas,71407,clean,automatic,1FA6P8TH7F5417977,rwd,,coupe,black,tx,2021-04-29 13:03:36+00:00,2015.0 ford mustang ecoboost automatic,25995
oklahoma city,31900,2015,ford,f-150,,,gas,137396,clean,automatic,1FTEW1EG2FFB23305,4wd,,pickup,silver,ok,2021-04-28 20:19:16+00:00,2015.0 ford f-150,26030
des moines,13475,2015,ford,f-150,,,gas,132081,clean,automatic,1FTMF1C80FKD69722,,,,blue,ia,2021-05-02 13:46:48+00:00,2015.0 ford f-150,26030
yakima,32995,2015,ford,f-150,,8 cylinders,gas,96319,clean,automatic,1FTEW1EFXFFA45525,4wd,,truck,blue,wa,2021-04-29 23:32:14+00:00,2015.0 ford f-150,26030
yakima,45999,2015,ford,f-150,,8 cylinders,gas,38113,clean,automatic,1FTFW1EF0FKE79092,4wd,,truck,,wa,2021-04-28 16:02:06+00:00,2015.0 ford f-150,26030
fresno / madera,23999,2015,ford,f-150,excellent,6 cylinders,gas,154677,clean,automatic,1FTEX1CP6FKE42777,rwd,full-size,truck,black,ca,2021-05-01 18:42:36+00:00,2015.0 ford f-150,26030
hawaii,46988,2015,ford,f-150,,,gas,43024,clean,automatic,1FTEW1EG6FFB23047,4wd,,,white,hi,2021-05-03 20:01:46+00:00,2015.0 ford f-150,26030
boise,33995,2015,ford,f-150,,6 cylinders,gas,97580,clean,automatic,1FTEW1EG2FFA00555,4wd,,truck,white,id,2021-05-02 17:31:59+00:00,2015.0 ford f-150,26030
"washington, DC",7999,2015,volkswagen,jetta se,excellent,4 cylinders,gas,93410,clean,automatic,3VWD17AJ5FM211244,fwd,,sedan,grey,dc,2021-05-02 19:40:14+00:00,2015.0 volkswagen jetta se,26100
fort collins / north CO,12995,2015,kia,sedona,,6 cylinders,gas,149405,clean,automatic,KNDMC5C11F6043455,fwd,,mini-van,red,co,2021-04-23 23:03:27+00:00,2015.0 kia sedona,26100
orange county,12900,2015,kia,sedona,excellent,6 cylinders,gas,112996,clean,automatic,KNDMB5C13F6041810,fwd,full-size,van,custom,ca,2021-05-04 03:49:53+00:00,2015.0 kia sedona,26100
worcester / central MA,12900,2015,mitsubishi,outlander se awd,excellent,4 cylinders,gas,63542,clean,automatic,JA4AZ3A39FZ007788,4wd,mid-size,SUV,grey,ma,2021-04-28 15:29:49+00:00,2015.0 mitsubishi outlander se awd,26195
columbus,14950,2015,dodge,challenger sxt,excellent,6 cylinders,gas,69292,rebuilt,automatic,2C3CDZAG6FH839550,rwd,full-size,coupe,red,oh,2021-05-03 17:53:34+00:00,2015.0 dodge challenger sxt,26220
modesto,14777,2015,volkswagen,tiguan,,,gas,65425,clean,automatic,WVGBV7AX5FW587702,,,SUV,,ca,2021-04-16 05:00:59+00:00,2015.0 volkswagen tiguan,26255
palm springs,12999,2015,volkswagen,tiguan s,excellent,4 cylinders,gas,46000,clean,automatic,WVGAV7AX4FW591543,,,SUV,,ca,2021-04-18 19:19:56+00:00,2015.0 volkswagen tiguan s,26255
portland,19448,2015,subaru,wrx,excellent,4 cylinders,gas,90347,,other,JF1VA1A63F9835841,4wd,,sedan,,or,2021-05-03 21:33:20+00:00,2015.0 subaru wrx,26295
greenville / upstate,8998,2015,dodge,dart,,,gas,106205,clean,automatic,1C3CDFAA5FD433850,fwd,,sedan,silver,sc,2021-04-10 13:12:11+00:00,2015.0 dodge dart,26295
palm springs,21995,2015,subaru,wrx,excellent,4 cylinders,gas,82285,clean,manual,JF1VA1A67F9801109,4wd,,sedan,,ca,2021-04-19 21:36:07+00:00,2015.0 subaru wrx,26295
fargo / moorhead,22750,2015,subaru,wrx,,,gas,36550,clean,manual,JF1VA1D68F9814625,,compact,sedan,,mn,2021-04-26 21:15:15+00:00,2015.0 subaru wrx,26295
hawaii,19900,2015,subaru,xv crosstrek 5dr cvt 2.0i premium,,4 cylinders,,31831,clean,automatic,JF2GPACC2F8315576,,,SUV,red,hi,2021-05-01 00:30:23+00:00,2015.0 subaru xv crosstrek 5dr cvt 2.0i premium,26295
"st louis, MO",22495,2015,subaru,wrx,,,gas,57437,clean,manual,JF1VA1A65F9832827,,compact,sedan,white,il,2021-04-30 23:10:23+00:00,2015.0 subaru wrx,26295
south florida,16997,2015,subaru,wrx,,,gas,106169,clean,automatic,JF1VA1D6XF8805124,,compact,sedan,red,fl,2021-04-29 21:50:19+00:00,2015.0 subaru wrx,26295
wichita,31990,2015,chevrolet,silverado 1500,good,8 cylinders,gas,52086,clean,automatic,3GCUKSEC4FG385934,4wd,full-size,truck,blue,ks,2021-04-28 17:24:45+00:00,2015.0 chevrolet silverado 1500,26520
ft myers / SW florida,38000,2015,chevrolet,silverado,,,gas,135078,clean,automatic,3GCUKSECXFG318285,4wd,,pickup,white,fl,2021-05-01 20:25:29+00:00,2015.0 chevrolet silverado,26520
charleston,28990,2015,dodge,durango r/t sport utility,good,8 cylinders,other,9029,clean,other,1C4SDHCT1FC239713,,,SUV,white,sc,2021-04-05 18:01:09+00:00,2015.0 dodge durango r/t sport utility,26565
fredericksburg,27995,2015,ford,f-150,,,gas,106760,clean,automatic,1FTEW1CG4FKD24147,fwd,,pickup,white,va,2021-04-10 15:52:03+00:00,2015.0 ford f-150,26615
waco,35995,2015,ford,f-150,,,gas,73850,clean,automatic,1FTEW1EG8FFB40836,4wd,,truck,red,tx,2021-04-08 14:00:42+00:00,2015.0 ford f-150,26615
tri-cities,31900,2015,ford,f150,,,gas,86089,clean,automatic,1FTEW1EG8FFC37762,,,other,white,tn,2021-05-04 17:31:05+00:00,2015.0 ford f150,26615
oregon coast,29990,2015,ford,f-150,,,gas,98788,clean,automatic,1FTEW1EG2FKD82223,4wd,,pickup,,or,2021-04-10 18:27:27+00:00,2015.0 ford f-150,26615
inland empire,23999,2015,ford,f150 supercrew cab,,6 cylinders,gas,152363,clean,automatic,1FTEW1CP9FKD40540,,,pickup,black,ca,2021-04-29 19:05:03+00:00,2015.0 ford f150 supercrew cab,26615
atlanta,32900,2015,ford,f-150,,,gas,95593,clean,automatic,1FTEW1EGXFFA27955,4wd,,pickup,black,ga,2021-04-29 22:35:25+00:00,2015.0 ford f-150,26615
portland,33990,2015,ford,f-150,,6 cylinders,gas,85453,clean,automatic,1FTEW1EG8FKE78972,4wd,,,,or,2021-05-04 18:23:19+00:00,2015.0 ford f-150,26615
knoxville,17990,2015,ram,promaster city wagon slt,,4 cylinders,gas,99480,clean,automatic,ZFBERFBT0F6953094,fwd,,van,white,tn,2021-04-27 17:42:13+00:00,2015.0 ram promaster city wagon slt,26650
jacksonville,17588,2015,gmc,sierra 1500 regular cab,,8 cylinders,gas,90172,clean,automatic,1GTN1TEC8FZ906814,,,pickup,white,fl,2021-05-01 16:14:51+00:00,2015.0 gmc sierra 1500 regular cab,26670
greenville / upstate,14000,2015,toyota,prius,,,hybrid,86194,clean,automatic,JTDKN3DU6F0426373,fwd,,hatchback,red,sc,2021-04-06 13:07:53+00:00,2015.0 toyota prius,26675
albuquerque,16990,2015,kia,optima hybrid sedan 4d,good,,gas,28630,clean,other,KNAGM4ADXF5079973,fwd,,sedan,white,nm,2021-05-04 16:01:22+00:00,2015.0 kia optima hybrid sedan 4d,26690
brainerd,18999,2015,ford,transit connect wagon,,,gas,34342,clean,automatic,NM0GS9F76F1184474,fwd,,,white,mn,2021-04-08 13:55:41+00:00,2015.0 ford transit connect wagon,26710
kennewick-pasco-richland,13726,2015,dodge,journey sxt fwd gas suv,,,gas,68033,clean,automatic,3C4PDCBG9FT653906,fwd,,SUV,white,wa,2021-05-01 22:05:55+00:00,2015.0 dodge journey sxt fwd gas suv,26730
maine,18950,2015,jeep,wrangler unlimited,good,6 cylinders,gas,112101,clean,automatic,1C4BJWKG2FL686861,4wd,,,grey,me,2021-04-21 12:52:48+00:00,2015.0 jeep wrangler unlimited,26795
columbia / jeff city,16987,2015,jeep,renegade limited,excellent,,gas,39505,clean,automatic,ZACCJBDT5FPC29576,,sub-compact,SUV,black,mo,2021-04-22 18:28:57+00:00,2015.0 jeep renegade limited,26795
moses lake,42000,2015,chevrolet,silverado 1500 high,excellent,8 cylinders,gas,44722,,automatic,3GCUKTEC7FG331663,4wd,,truck,,wa,2021-04-17 22:03:47+00:00,2015.0 chevrolet silverado 1500 high,26935
bend,29536,2015,dodge,challenger r/t coupe 2d,good,8 cylinders,gas,33109,clean,other,2C3CDZAT0FH711270,rwd,,coupe,,or,2021-04-21 18:49:18+00:00,2015.0 dodge challenger r/t coupe 2d,26995
sioux falls / SE SD,30000,2015,dodge,challenger,,8 cylinders,gas,11527,clean,automatic,2C3CDZAT5FH716092,rwd,,coupe,silver,sd,2021-04-06 16:30:34+00:00,2015.0 dodge challenger,26995
olympic peninsula,39999,2015,dodge,challenger,,8 cylinders,gas,16410,clean,manual,2C3CDZDJ7FH822909,rwd,,coupe,custom,wa,2021-04-14 17:22:42+00:00,2015.0 dodge challenger,26995
mankato,16500,2015,ford,edge,,4 cylinders,gas,104676,clean,automatic,2FMTK4K97FBB92207,4wd,,SUV,,mn,2021-04-07 15:03:06+00:00,2015.0 ford edge,27000
austin,22295,2015,ford,edge,,,gas,61774,clean,automatic,2FMTK4AP3FBB73184,4wd,,SUV,white,tx,2021-04-22 13:02:37+00:00,2015.0 ford edge,27000
maine,33944,2015,gmc,sierra,,,gas,78567,clean,automatic,1GTN2UEC7FZ438092,4wd,,pickup,white,me,2021-04-16 22:02:26+00:00,2015.0 gmc sierra,27020
omaha / council bluffs,29874,2015,gmc,sierra 1500,,8 cylinders,gas,47674,clean,automatic,1GTV2UEC3FZ273688,4wd,,pickup,grey,ia,2021-04-27 15:11:30+00:00,2015.0 gmc sierra 1500,27020
anchorage / mat-su,25952,2015,gmc,sierra 1500,,8 cylinders,gas,123838,clean,other,3GTU2UEC0FG202587,4wd,,truck,black,ak,2021-04-24 16:39:02+00:00,2015.0 gmc sierra 1500,27020
phoenix,24995,2015,gmc,sierra,excellent,6 cylinders,gas,114722,clean,automatic,1GTR1TEH5FZ340270,rwd,,truck,,az,2021-05-04 17:57:50+00:00,2015.0 gmc sierra,27020
fargo / moorhead,32890,2015,gmc,sierra,,,gas,97870,clean,automatic,3GTU2VEC0FG522336,4wd,,pickup,black,mn,2021-04-26 21:15:32+00:00,2015.0 gmc sierra,27020
waco,47995,2015,gmc,sierra,,,gas,125699,clean,automatic,1GT424E88FF525010,4wd,,truck,white,tx,2021-04-23 13:58:08+00:00,2015.0 gmc sierra,27020
seattle-tacoma,31999,2015,gmc,sierra,like new,8 cylinders,gas,144700,clean,automatic,1GT22XEG4FZ522748,4wd,full-size,truck,white,wa,2021-05-04 19:57:21+00:00,2015.0 gmc sierra,27020
rockford,47995,2015,gmc,sierra 1500,excellent,8 cylinders,gas,58440,clean,automatic,3GTU2VEC6FG207959,4wd,full-size,pickup,white,il,2021-04-22 17:50:08+00:00,2015.0 gmc sierra 1500,27020
omaha / council bluffs,26970,2015,gmc,sierra,excellent,8 cylinders,gas,150109,clean,automatic,3GTU2VEC2FG273862,4wd,,pickup,blue,ia,2021-04-23 20:45:39+00:00,2015.0 gmc sierra,27020
del rio / eagle pass,9800,2015,dodge,journey se,like new,4 cylinders,gas,125000,clean,automatic,3C4PDCAB1FT547665,fwd,full-size,SUV,blue,tx,2021-05-05 00:30:03+00:00,2015.0 dodge journey se,27040
lansing,9981,2015,dodge,journey se,excellent,4 cylinders,gas,71435,,automatic,3C4PDCAB0FT559189,,,SUV,,mi,2021-05-04 21:03:08+00:00,2015.0 dodge journey se,27040
omaha / council bluffs,9995,2015,buick,regal,,4 cylinders,,58518,,automatic,2G4GN5EX0F9204021,fwd,,sedan,grey,ia,2021-04-29 13:12:57+00:00,2015.0 buick regal,27065
chicago,7995,2015,ford,c-max sel,,4 cylinders,hybrid,110265,clean,automatic,1FADP5CU4FL104013,fwd,,wagon,silver,il,2021-05-01 17:19:39+00:00,2015.0 ford c-max sel,27170
pueblo,16995,2015,dodge,durango,,6 cylinders,gas,131805,clean,automatic,1C4RDJAG5FC811183,4wd,,SUV,red,co,2021-04-08 16:30:44+00:00,2015.0 dodge durango,27295
sarasota-bradenton,11900,2015,dodge,grand caravan sxt,like new,6 cylinders,gas,129000,clean,automatic,2C4RDGCG1FR631867,fwd,full-size,mini-van,grey,fl,2021-04-13 14:43:10+00:00,2015.0 dodge grand caravan sxt,27395
east idaho,13900,2015,gmc,terrain sle,excellent,,gas,105998,clean,automatic,2GKFLWEK4F6278340,,mid-size,SUV,blue,id,2021-05-03 19:31:59+00:00,2015.0 gmc terrain sle,27485
"kansas city, MO",24995,2015,gmc,canyon sle,,6 cylinders,gas,114424,clean,automatic,1GTG6BE3XF1227775,,,truck,brown,ks,2021-04-27 21:57:35+00:00,2015.0 gmc canyon sle,27520
seattle-tacoma,12571,2015,chrysler,200,excellent,,gas,84722,clean,automatic,1C3CCCAB6FN676071,fwd,,,,wa,2021-05-04 17:02:40+00:00,2015.0 chrysler 200,27525
roanoke,46900,2015,chevrolet,silverado 3500hd,excellent,8 cylinders,diesel,138000,clean,automatic,1GC4K0E86FF139095,4wd,full-size,truck,red,va,2021-04-30 13:33:33+00:00,2015.0 chevrolet silverado 3500hd,27590
vermont,11998,2015,ford,escape se 4x4,good,4 cylinders,gas,110351,clean,automatic,1FMCU9GXXFUC54059,4wd,mid-size,SUV,black,vt,2021-04-26 14:26:54+00:00,2015.0 ford escape se 4x4,27805
cincinnati,10495,2015,mini,countryman cooper s all4,,4 cylinders,gas,113810,clean,manual,WMWZC5C55FWM19306,4wd,,wagon,green,oh,2021-04-13 01:35:34+00:00,2015.0 mini countryman cooper s all4,27850
madison,17995,2015,chevrolet,silverado 1500,,8 cylinders,gas,144120,clean,automatic,1GCVKPEC8FZ289W42,,,,,wi,2021-04-20 00:45:32+00:00,2015.0 chevrolet silverado 1500,27950
"washington, DC",28000,2015,chevrolet,silverado,,,gas,90291,clean,automatic,3GCUKRECXFG105670,4wd,,pickup,black,dc,2021-04-29 12:55:04+00:00,2015.0 chevrolet silverado,27950
knoxville,25995,2015,chevrolet,silverado 1500,,8 cylinders,gas,111168,clean,automatic,3GCPCREC0FG427793,rwd,,,blue,tn,2021-04-06 03:39:35+00:00,2015.0 chevrolet silverado 1500,27950
portland,12900,2015,hyundai,tucson awd 4dr gls *90 d,,,other,81373,clean,automatic,KM8JTCAF4FU061736,,,SUV,,or,2021-05-04 17:07:26+00:00,2015.0 hyundai tucson awd 4dr gls *90 d,27950
tampa bay area,18134,2015,acura,ilx 2.0l,like new,4 cylinders,gas,42320,clean,automatic,19VDE1F70FE009271,fwd,mid-size,sedan,white,fl,2021-04-29 18:04:30+00:00,2015.0 acura ilx 2.0l,27970
tucson,20900,2015,dodge,challenger sxt,,6 cylinders,gas,67349,clean,automatic,2C3CDZAG3FH811740,rwd,,coupe,black,az,2021-04-30 17:32:37+00:00,2015.0 dodge challenger sxt,27990
green bay,14895,2015,dodge,grand caravan,excellent,6 cylinders,gas,75901,clean,automatic,2C4RDGBG8FR518984,fwd,,mini-van,red,wi,2021-04-22 18:30:22+00:00,2015.0 dodge grand caravan,27995
maine,24995,2015,chevrolet,silverado 1500,excellent,,gas,94000,clean,automatic,1GCNKPEC9FZ400820,4wd,,pickup,red,me,2021-05-04 19:45:14+00:00,2015.0 chevrolet silverado 1500,28055
springfield,16995,2015,ford,edge,good,4 cylinders,gas,96000,clean,automatic,2FMTK4J93FBB76863,4wd,,wagon,black,mo,2021-04-23 18:34:09+00:00,2015.0 ford edge,28100
green bay,17990,2015,ford,edge,excellent,6 cylinders,gas,85507,clean,automatic,2FMPK4K85FBB27655,4wd,,SUV,red,wi,2021-04-14 16:02:03+00:00,2015.0 ford edge,28100
atlanta,18990,2015,subaru,brz limited coupe 2d,good,,other,92471,clean,other,JF1ZCAC11F8604049,rwd,,coupe,white,ga,2021-05-02 18:21:49+00:00,2015.0 subaru brz limited coupe 2d,28155
battle creek,11997,2015,ford,escape se 4wd,good,4 cylinders,gas,71032,clean,automatic,1FMCU9GX6FUC31555,4wd,,SUV,white,mi,2021-04-14 21:40:21+00:00,2015.0 ford escape se 4wd,28199
ann arbor,17500,2015,subaru,wrx premium seda,excellent,4 cylinders,gas,101200,clean,manual,JF1VA1D6XF9808034,4wd,full-size,sedan,blue,mi,2021-04-12 23:14:10+00:00,2015.0 subaru wrx premium seda,28495
knoxville,24990,2015,toyota,tundra,,,gas,105523,clean,automatic,5TFRM5F10FX090887,fwd,,pickup,black,tn,2021-04-28 20:59:18+00:00,2015.0 toyota tundra,28510
charleston,28988,2015,ram,1500,excellent,,gas,87743,clean,automatic,1C6RR7MT8FS538220,4wd,,pickup,,wv,2021-04-12 20:05:43+00:00,2015.0 ram 1500,28595
denver,37000,2015,ram,1500,excellent,6 cylinders,diesel,59000,clean,automatic,1C6RR7PM4FS730366,4wd,full-size,truck,silver,co,2021-05-04 00:32:57+00:00,2015.0 ram 1500,28595
pueblo,26494,2015,ram,pickup 1500,,,gas,93142,clean,automatic,1C6RR7TT5FS662947,,,other,black,co,2021-05-04 00:15:37+00:00,2015.0 ram pickup 1500,28595
sacramento,36988,2015,ram,1500,,8 cylinders,gas,33922,clean,automatic,1C6RR7GT5FS641526,4wd,,truck,white,ca,2021-05-03 19:01:07+00:00,2015.0 ram 1500,28595
tucson,24595,2015,ram,1500 st,excellent,8 cylinders,gas,89197,clean,automatic,1C6RR7KT8FS597092,4wd,,truck,,az,2021-04-26 21:44:55+00:00,2015.0 ram 1500 st,28595
sioux falls / SE SD,27500,2015,ram,1500,,8 cylinders,gas,111649,clean,automatic,1C6RR7PTXFS638010,4wd,,truck,black,sd,2021-04-08 16:30:41+00:00,2015.0 ram 1500,28595
cleveland,21800,2015,ram,1500,excellent,6 cylinders,gas,80661,clean,automatic,1C6RR7LGXFS728119,4wd,full-size,truck,blue,oh,2021-05-04 17:30:22+00:00,2015.0 ram 1500,28595
yakima,28998,2015,ram,1500,,8 cylinders,gas,96907,clean,automatic,1C6RR7GT7FS640748,4wd,,truck,grey,wa,2021-04-25 16:01:03+00:00,2015.0 ram 1500,28595
inland empire,19999,2015,toyota,sienna,,,gas,62383,clean,automatic,5TDXK3DCXFS682759,,full-size,van,silver,ca,2021-05-02 20:40:43+00:00,2015.0 toyota sienna,28600
huntsville / decatur,14152,2015,toyota,sienna,,6 cylinders,gas,105429,clean,automatic,5TDZK3DC9FS686665,fwd,,van,silver,al,2021-04-19 14:01:16+00:00,2015.0 toyota sienna,28600
clarksville,23999,2015,chevrolet,colorado crew cab,,6 cylinders,gas,106532,clean,automatic,1GCGTBE38F1123892,4wd,,pickup,black,tn,2021-04-08 20:20:19+00:00,2015.0 chevrolet colorado crew cab,28630
oklahoma city,8995,2015,ford,sedan police interceptor,excellent,6 cylinders,gas,129102,clean,automatic,1FAHP2L82FG132453,fwd,,sedan,blue,ok,2021-04-30 21:15:53+00:00,2015.0 ford sedan police interceptor,28800
baton rouge,21300,2015,honda,odyssey,good,6 cylinders,gas,53622,clean,automatic,5FNRL5H64FB095709,fwd,,,grey,la,2021-04-17 18:37:07+00:00,2015.0 honda odyssey,28975
daytona beach,17165,2015,honda,odyssey,,6 cylinders,gas,96436,clean,automatic,5FNRL5H6XFB006032,fwd,,mini-van,white,fl,2021-04-14 15:34:29+00:00,2015.0 honda odyssey,28975
bend,23990,2015,honda,odyssey,,,gas,50009,clean,automatic,5FNRL5H62FB001486,,,mini-van,,or,2021-04-24 04:50:23+00:00,2015.0 honda odyssey,28975
orange county,20950,2015,honda,odyssey,excellent,,gas,40695,clean,automatic,5FNRL5H63FB019253,fwd,,mini-van,grey,ca,2021-04-28 22:01:19+00:00,2015.0 honda odyssey,28975
"washington, DC",24995,2015,dodge,charger,,,gas,79550,clean,automatic,2C3CDXCT7FH801145,rwd,full-size,sedan,red,dc,2021-05-01 16:10:26+00:00,2015.0 dodge charger,28990
seattle-tacoma,21750,2015,dodge,charger,excellent,,gas,69956,clean,automatic,2C3CDXHG5FH764978,rwd,,,,wa,2021-05-04 16:59:15+00:00,2015.0 dodge charger,28990
tampa bay area,15995,2015,dodge,charger,,,gas,117710,clean,automatic,2C3CDXBG6FH778543,rwd,full-size,sedan,,fl,2021-05-04 18:06:27+00:00,2015.0 dodge charger,28990
tri-cities,12995,2015,dodge,grand caravan,,6 cylinders,,99008,,automatic,2C4RDGBG8FR710227,fwd,,van,silver,tn,2021-05-03 17:12:38+00:00,2015.0 dodge grand caravan,28995
santa maria,12990,2015,nissan,leaf s hatchback 4d,good,,other,43920,clean,other,1N4AZ0CP1FC330231,,,hatchback,red,ca,2021-04-09 11:20:28+00:00,2015.0 nissan leaf s hatchback 4d,29010
grand rapids,33997,2015,chevrolet,suburban,,8 cylinders,gas,106802,clean,automatic,1GNSKKKC9FR515032,4wd,,SUV,white,mi,2021-04-30 15:05:49+00:00,2015.0 chevrolet suburban,29055
tucson,16995,2015,chevrolet,colorado,excellent,4 cylinders,gas,137501,clean,automatic,1GCHTAEAXF1230889,4wd,mid-size,pickup,white,az,2021-05-03 19:02:46+00:00,2015.0 chevrolet colorado,29055
new york city,17590,2015,toyota,venza le wagon 4d,good,,other,91760,clean,other,4T3BA3BB8FU073255,,,wagon,silver,ny,2021-05-03 20:41:22+00:00,2015.0 toyota venza le wagon 4d,29065
